id,intitule,entreprise,lieu,type_contrat,nature_contrat,duree_contrat,date_creation,salaire,experience_exigee,competences,description,url
213VJXT,Data analyst (H/F),DAVIDSON PACA,06 - VALBONNE,CDI,Contrat travail,"35H/semaine
Travail en journée",2026-09-14T11:46:23.729Z,Annuel de 36000.0 Euros à 45000.0 Euros,Débutant accepté,Communiquer les résultats des études aux parties prenantes,"Rejoindre Davidson, ce n'est pas seulement intégrer un groupe de 3000 consultants dans 6 pays et 2 continents, c'est intégrer LA société qui a été élue par ses salariés Great Place To Work France et Europe pendant 4 ans mais aussi une des plus grandes B Corp de France, nommée Best of the World dans la catégorie ""collaborateurs"" en 2022 ! (Les ""B Corp"" formant une communauté de sociétés qui ont décidé d'être non pas les meilleures du monde mais les meilleures POUR le monde).  Parce que notre développement repose sur des principes forts :  Un profond respect de l'ensemble de nos parties prenantes : consultant(e)s, clients et fournisseurs. Car si le travail ""ne fait pas le bonheur"", il peut cependant ""faire le malheur"". Nous nous engageons donc à écouter et agir avec honnêteté. Une égalité des chances dans le traitement de nos candidatures et dans la gestion de carrière de nos salarié(e)s. Nous croyons en un milieu de travail où équité F/H, inclusion et diversité sont la norme. Une empreinte environnementale minimale, et sociétale maximale. C'est pourquoi, au-delà des missions que vous réaliserez, vous pourrez également contribuer à des projets que Davidson soutient : missions de solidarité internationale (avec Planète Urgence), bénévolat auprès d'associations (chaque Davidsonien(ne) dispose de 3 jours par an pour intervenir à leurs côtés), accompagnement d'étudiant(e)s issus de milieux peu favorisés (avec Article 1), investissement dans des startups développant des solutions innovantes, actions collectives et individuelles pour la réduction de notre impact carbone. Un Management adhocratique basé sur la mise en œuvre des principes de ""l'entreprise horizontale"" et du ""management tribal"". Sur ce dernier point une précision d'importance : le bien-être au travail est un luxe qu'il faut pouvoir s'offrir en étant une entreprise ""sol  Dans un contexte technique et innovant, vous intégrerez notre équipe Data pour accompagner nos clients dans la valorisation de leurs données et le développement de solutions décisionnelles à forte valeur ajoutée.  Vos missions principales seront :  Conception et développement : Créer, optimiser et maintenir des tableaux de bord interactifs sous Power BI répondant aux exigences métiers. Analyse et qualité des données : Collaborer avec les métiers pour définir des règles de qualité, mettre en évidence les anomalies et faciliter leur résolution. Documentation et accompagnement : Documenter les développements réalisés et former les utilisateurs pour leur assurer autonomie et compréhension des outils. Veille et innovation : Participer activement à la veille technologique sur Power BI et les technologies associées pour proposer des solutions innovantes. Gestion de projets : Conduire des projets de bout en bout, de la compréhension des besoins métier à la mise en production des solutions. Technologies utilisées  Langages & outils : Power BI (DAX, Power Query, Power BI Service), SQL, Python. Plateformes et frameworks : Power Platform (Power Automate, Power Apps), Azure, GitLab. Conception et design : UI/UX pour des rapports ergonomiques et intuitifs. Compétences requises  Formation : Bac +5 minimum, spécialisation en Data Engineering, BI ou équivalent. Expérience : 2 à 3 ans d'expérience sur des projets BI avec une expertise en Power BI. Compétences techniques : Maîtrise avancée de Power BI (DAX, Power Query, gestion des espaces de travail). Compétence en modélisation de données et utilisation avancée de SQL. Connaissance des outils Cloud Microsoft tels qu'Azure et Power Platform. Notions en Python pour des besoins complémentaires d'analyse ou de développement. Aptitudes personnelles : Esprit analytique et rigueur. Capacité à communiquer avec des interlocuteurs variés, techniques et fonctionnels. Passion pour les nouvelles technologies et l'innovation dans le domaine de la Data. Autonomie et sens de l'organisation.",https://candidat.francetravail.fr/offres/recherche/detail/213VJXT
213VGNP,Data Analyst (H/F),LUCKY CART,75 - PARIS,CDI,Contrat travail,"35H/semaine
Travail en journée",2026-09-14T11:03:11.941Z,Annuel de 38000.0 Euros à 42000.0 Euros,1 An(s),"Adapter les outils de traitement statistique de données, Communiquer les résultats des études aux parties prenantes, Analyser et prévenir les risques, Analyser, exploiter, structurer des données, Collaborer avec des équipes pour intégrer des analyses, Collecter et analyser des données, des informations, Communiquer des insights clés aux parties prenantes, Utiliser l'anglais dans un contexte professionnel","La forte croissance que nous enregistrons et les projets de développement à l'international nous amènent à renforcer notre équipe data en recrutant un Data Analyst (H/F) Rattaché(e) au Lead Data Analyst, vos travaux d'innovation et de recherche en data analyse permettront de faire évoluer les produits de Lucky Cart, d'évaluer au mieux leur performance et d'élargir la palette de services connexes.  Au cœur de la société, vous travaillerez au quotidien avec toutes les équipes impliquées (commercial, marketing, R&D, produit et finance) pour mener à bien vos missions. Vos recherches pourront faire l'objet de publications, de présentations dans des séminaires ou des meetups et de dépôts de brevet. Votre leadership, votre ambition et votre engagement feront de vous une partie intégrante de la forte expansion de Lucky Cart en France et en Europe. Au cœur de la société, vous collaborez au quotidien avec toutes les équipes impliquées (marketing, R&D, Engineering & Science et juridique) pour mener à bien vos missions.  MISSIONS Sous la responsabilité du Lead Data Analyst, vous aurez pour missions :  - Recueillir et reformuler en termes data et scientifiques les besoins d'analyse de l'équipe commerciale (simulation de campagnes à venir, métriques de résultats) , - Traduire ces besoins en requêtes sur nos différents systèmes big data , - Contribuer aux travaux des data scientists, notamment dans la phase de feature engineering , - Assurer la fiabilité des pipelines de données, des processus ETL et de la transformation des données en réalisant et en mettant en œuvre des tests manuels et automatisés, - Être force de proposition sur tous les sujets d'architecture et de modélisation, - Être force de proposition et prendre le lead sur des dispositifs innovants, - Travailler en parfaite collaboration avec les autres fonctions au sein de la société (marketing, R&D, Sales, Produit), - Assurer un reporting régulier de l'activité",https://candidat.francetravail.fr/offres/recherche/detail/213VGNP
6860449,BUSINESS ANALYST DATA F/H,Lobellia Conseil,92 - Montrouge,CDI,Contrat travail,,2026-09-14T04:03:12.030Z,,Expérience exigée,,"LOBELLIA Conseil est une société en pleine expansion d'une centaine de consultants spécialisés dans le conseil et la mise en œuvre autour des solutions de pilotage de la performance :  * Issus des grandes écoles d'ingénieurs, disposant généralement d'une double formation et d'une expérience significative dans les projets de mise en place de systèmes d'information * Dynamiques, compétents et motivés, tous mobilisés pour apporter les solutions les plus appropriées au contexte de nos clients.  Vos missions  Nos postes sont très variés. Nous ne recrutons pas pour une mission, nous recrutons un profil !  Une personne qui sait s'adapter et s'épanouir tout au long de sa carrière. Notre vision n'est pas tournée vers le court terme, car nous avons à coeur de vous faire grandir aussi bien professionnellement, que personnellement !  Bien évidemment, si vous êtes sur cette offre, c'est que vous souhaitez en savoir plus.  Voici donc les travaux que vous pourrez être amené à faire :  1. En fonction des besoins, participation aux ateliers d'expression de besoin ou de conception avec la MOA et élaboration des spécifications fonctionnelles 2. Préparation, organisation et exécution des tests de qualification de l'ensemble de la solution 3. Suivi et assistance auprès des directions Métiers lors du processus de validation de la solution 4. Rédaction des guides utilisateurs et administrateurs et prise en charge si nécessaire des plans de formation et plan de communication 5. Pilotage et coordination des actions des différents acteurs Projet (MOA et MOE): suivi des actions, consolidation et reporting, suivi des jalons  Au sein d'une équipe projet sous la responsabilité d'un chef de projet, vous pourrez être amené à intervenir sur les différentes problématiques liées au stockage et à la modélisation, à l'alimentation et aux restitutions de données, dans différents secteurs d'activités.  Vous assurez la bonne qualité des composants et vous intervenez sur les différentes phases de qualification, validation et déploiement de la solution.  Nous sommes une entreprise à taille humaine, nous n'abandonnons aucun soldat au front ! C'est pourquoi, vous bénéficierez de toute l'expertise de LOBELLIA Conseil en termes de conduite et de méthodologie de définition et construction de solutions décisionnelles. Dans ce cadre, vous serez formé et encadré sur l'utilisation de différents outils de Business Intelligence  Vos compétences  Dynamique et motivé, vous êtes avant-tout « agile » !  En outre, si vous souhaitez des détails, nous acceptons les personnes qui ont :  * Un diplôme BAC + 5 (école d'ingénieur ou universitaire), vous souhaitez progresser dans la maîtrise des outils BI et dans la de mise en place de solutions décisionnelles * Un bon esprit d'analyse et de synthèse, * ou encore une bonne capacité rédactionnelle et relationnelle,  Avantages  \- Travail en équipe  \- TR  \- Mutuelle  \- Prise en charge de Navigo 50%  \- PEE",https://candidat.francetravail.fr/offres/recherche/detail/6860449
6860448,DATA ANALYST (H/F),Lobellia Conseil,92 - Montrouge,CDI,Contrat travail,,2026-09-14T04:03:12.030Z,,Expérience exigée,,"LOBELLIA Conseil et ASTILLIA forment un groupe composé d'une centaine de consultants.  LOBELLIA Conseil est un cabinet de conseil et de service spécialisé dans la valorisation de la donnée : Business Intelligence, Big Data et EPM. Elle accompagne ses clients tout au long de leurs projets DATA et EPM, sur les réflexions en amont des projets et sur l'exécution tant en Assistance à Maitrise d'Ouvrage qu'en Maitrise d'Œuvre. LOBELLIA Conseil est partenaire GOLD JEDOX.  LOBELLIA Conseil intervient pour des clients grands comptes sur des secteurs variés (finances, industrie, services, secteur public, ).. Celles-ci s articulent depuis les études de cadrage jusqu' à l accompagnement des métiers dans la prise en main des solutions de pilotage et l'implémentation de solutions Data dans des architectures Cloud et/ou on-premise.  LOBELLIA Conseil regroupe au sein de ses équipes, des consultants passionnés par la Data de différents profils (Data Architect, Business Analyst Data, Data Analyst, Data Engineer, .).  Nos collaborateurs interviennent toujours en équipe dédiée en mode projet chez nos clients.  La flexibilité et la réactivité de notre structure à taille humaine alliées à notre expertise forte sur des projets d envergure sont les clefs de la réussite de notre croissance.  ASTILLIA est une société qui conçoit et développe des Logiciels spécialisés sur un métier. Elle porte l offre DIGITALE du groupe.  LOBELLIA Conseil recherche plus particulièrement des Consultant(e)s AMOA/Product Owner/Business Analyst afin d'intervenir auprès de différents clients grands comptes, dans le but de les accompagner dans leur démarche de transformation data et digitale.  Vos missions  Nos postes sont très variés. Nous ne recrutons pas pour une mission, nous recrutons un profil ! Notre vision n'est pas tournée vers le court terme, car nous avons à cœur de vous faire grandir aussi bien professionnellement, que personnellement ! Bien évidemment, si vous êtes sur cette offre, c'est que vous souhaitez en savoir plus.  Voici donc les travaux que vous pourriez être amené à réaliser :  - Animation d'ateliers d'expression de besoin avec les directions Métiers ou IT - Conception de la solution et rédaction de spécifications fonctionnelles - Accompagnement des utilisateurs dans le maquettage de leurs Dashboards (Dataviz) et réalisation de Dashboards en lien étroit avec les métiers, - Gestion du lien entre les besoins métiers et l'équipe de mise en œuvre, - Préparation, organisation et exécution des tests de qualification de l'ensemble de la solution : rédaction des cahiers de recette et support à la recette utilisateur, - Organisation et exécution des actions de conduite de changement - Pilotage et coordination des actions des différents acteurs Projet (MOA et MOE): suivi des actions, consolidation et reporting, suivi des jalons, suivi des développements.  Vous interviendrez ainsi sur les différentes phases projet, de conception, développement, validation et déploiement de la solution. Afin d'accompagner le développement de l'agence lyonnaise, vous serez aussi amenés à participer à nos publications et à l'activité commerciale de l'agence.  Nous sommes une entreprise à taille humaine qui accompagne activement ses consultants. Vous bénéficierez ainsi de toute l'expertise de LOBELLIA Conseil en termes de conduite et de méthodologie de définition et construction de solutions décisionnelles. Dans ce cadre, vous serez formé et encadré sur l'utilisation de différents outils de Business Intelligence.  Vos compétences  Nous recherchons des candidats ayant acquis au moins 5 années d'expérience dans un cabinet de conseil ou SSII sur des sujets data, notamment en tant que Data Analyst, Consultant AMOA / Business Analyst. - Diplôme BAC + 5 (école d'ingénieur ou universitaire), vous êtes passionné par la Data et souhaitez progresser dans la maîtrise des outils BI, de Dataviz et dans le pilotage de projet - Vous êtes à l'aise sur les méthodologies projet classiques et agiles et vous possédez une connaissance de l'architecture d'un SI Data (BI, Big Data). - Vous connaissez une solution de Dataviz de type Power BI ou Tableau Software ainsi que SQL - Vous avez un bon esprit d'analyse et de synthèse une très bonne capacité rédactionnelle et relationnelle, - Vous êtes parfaitement à l'aise en anglais.",https://candidat.francetravail.fr/offres/recherche/detail/6860448
213VKSB,Chargé(e) de mission Observatoire (H/F),MAISON DE L'EMPLOI DU NORD DE LA REUNION,974 - Saint-Denis,CDD - 12 Mois,Contrat travail,"35H/semaine
Travail en journée",2026-09-14T12:00:58.819Z,Mensuel de 2700.0 Euros,1 An(s),"Analyse de données opérationnelles, MySQL, Programmation en Python, Adapter les outils de traitement statistique de données, Communiquer les résultats des études aux parties prenantes, Analyser, exploiter, structurer des données, Collecter et analyser des données, des informations, Communiquer des insights clés aux parties prenantes, Concevoir des tableaux de bord pour le suivi des performances, Développer des tableaux de bord pour suivre les indicateurs de performance (KPI), Interpréter des résultats d'analyses pour des décisions stratégiques","La Maison de l'Emploi du Nord de La Réunion développe l'Observatoire de l'Achat Socialement Responsable (ASR), outil de connaissance des marchés publics intégrant des clauses sociales et de leurs effets sur l'emploi et l'insertion à La Réunion. Nous recherchons un(e) Chargé(e) de mission Data Analyste pour collecter, structurer, analyser et valoriser les données de l'Observatoire. Le poste est centré sur l'observation, l'analyse de données, la production d'indicateurs et la valorisation des résultats. VOS MISSIONS  Développer et piloter l'Observatoire ASR Mettre à jour l'état des lieux des pratiques d'achat socialement responsable, identifier les sources de données, concevoir les outils de collecte, organiser les campagnes de recueil auprès des partenaires, centraliser et fiabiliser les informations, formaliser les procédures et garantir la traçabilité des données.   Développer et piloter l'Observatoire ANRU Mettre à jour l'état des lieux des pratiques d'achat socialement responsable liés au programme de renouvellement urbain, identifier les sources de données, concevoir les outils de collecte, organiser les campagnes de recueil auprès des partenaires, centraliser et fiabiliser les informations, formaliser les procédures et garantir la traçabilité des données.   Gérer et administrer les bases de données Concevoir et organiser les bases, mettre en place nomenclatures et référentiels communs, harmoniser les données issues de sources multiples, contrôler la qualité et la cohérence, corriger erreurs et données manquantes, assurer l'actualisation et la documentation des méthodes.   Analyser les données Exploiter les données relatives aux marchés clausés : nombre et nature des marchés, montants, secteurs d'activité, territoires, heures d'insertion prévues et réalisées, bénéficiaires accompagnés, profils des publics, types de contrats, entreprises attributaires, structures d'insertion mobilisées, sorties vers l'emploi ou la formation, écarts objectifs/résultats, évolution des pratiques. Identifier les tendances, produire des analyses comparatives, repérer les difficultés récurrentes et formuler constats et recommandations.   Produire indicateurs et tableaux de bord Définir les indicateurs quantitatifs et qualitatifs de suivi et d'impact, construire des tableaux de bord opérationnels, élaborer des représentations graphiques et synthèses statistiques, créer des outils de reporting à destination des partenaires, automatiser les suivis lorsque possible.   Réaliser cartographies et analyses territoriales Cartographier les marchés et actions menées, analyser la répartition géographique des marchés clausés, identifier les zones sous-couvertes, croiser données marchés / emploi / publics, mettre en évidence les besoins territoriaux.   Produire et diffuser les études Élaborer études statistiques, notes d'analyse, bilans annuels, rapports d'observation, synthèses thématiques, fiches territoriales, portraits sectoriels, infographies et supports de présentation, en adaptant le niveau de vulgarisation aux différents publics.   Animer le réseau de collecte et les partenariats Identifier les interlocuteurs et sources pertinentes, animer des réunions techniques sur les données, sensibiliser les partenaires à la qualité des informations transmises, recueillir les besoins des utilisateurs, participer aux échanges avec les réseaux régionaux et nationaux.   Missions spécifiques Veille sur l'ASR et les politiques publiques emploi / insertion / commande publique, amélioration des méthodes d'observation, contribution aux rapports d'activité, réponse aux demandes d'études des partenaires, respect de la réglementation sur la protection des données personnelles.",https://candidat.francetravail.fr/offres/recherche/detail/213VKSB
213VHQM,Référent Applicatif IA (H/F),LINK CONSULTING,31 - TOULOUSE,CDI,Contrat travail,"35H/semaine
Travail en journée",2026-09-14T11:23:11.218Z,Annuel de 45000.0 Euros à 55000.0 Euros,2 An(s),"Analyser, exploiter, structurer des données","Notre client, acteur majeur de son secteur, est à la recherche de son futur IA Engineer / Data Engineer IA (H/F) pour son site de Blagnac, dans le cadre du développement et de la structuration de sa stratégie Intelligence Artificielle.     Les initiatives IA sont encore en phase de construction, offrant à ce poste une forte visibilité et l'opportunité de contribuer activement aux orientations futures.  Vos missions   Intégré à la DSI et en interaction avec les équipes métiers, vous devrez :   Assurer une veille active sur les innovations et usages liés à l'Intelligence Artificielle.   Identifier et qualifier les opportunités d'utilisation de l'IA au sein des différents métiers.   Accompagner les équipes dans l'expérimentation de nouveaux cas d'usage.   Participer à la conception et au déploiement de solutions basées sur l'IA.   Contribuer à l'industrialisation des initiatives validées.   Participer à la structuration des bonnes pratiques et de la gouvernance IA.   Faciliter l'adoption des nouveaux outils et usages auprès des utilisateurs.  Compétences techniques attendues   Connaissances en Data Engineering et/ou IA Engineering.   Notions ou premières expériences sur les technologies IA générative.   Traitement et valorisation de la donnée.   Culture Cloud et plateformes data modernes.   Microsoft Fabric apprécié.   Connaissances des environnements Microsoft.   Intérêt pour l'automatisation et l'industrialisation des usages data et IA.  Profil   De formation supérieure en informatique, Data ou Intelligence Artificielle, vous justifiez d'une première expérience réussie de 2 à 5 ans dans un environnement Data, IA ou innovation technologique.   Nous recherchons avant tout un profil à fort potentiel, curieux et souhaitant évoluer sur les sujets IA.  Vous êtes reconnu pour vos qualités :   Curiosité technologique.   Capacité d'apprentissage rapide.   Esprit d'initiative.   Communication avec des interlocuteurs métiers et techniques.   Autonomie et sens du service.  Nous nous efforçons de garantir un processus rapide, efficace et transparent.  Avantages   2 jours de télétravail par semaine.   Forte exposition aux sujets IA émergents.   Participation à la construction de la stratégie IA du groupe.   Évolution rapide au sein d'un environnement innovant.   Rémunération : jusqu'à 55 K€ fixe selon expérience.   Option prestation possible",https://candidat.francetravail.fr/offres/recherche/detail/213VHQM
213VBJC,Concepteur développeur / Conceptrice développeuse de produits d'a (H/F),MUTUELLE COMPLEMENTAIRE D'ALSACE,68 - COLMAR,CDI,Contrat travail,"35H/semaine
Travail en journée",2026-09-14T09:48:38.458Z,,4 An(s),,"Vos missions: Rattaché(e) à la Direction Technique et Système d'information, le développeur AS400 occupe un poste clé au croisement du pilotage fonctionnel et de la réalisation technique. Il est le garant du bon fonctionnement et des évolutions du système AS400 (environnement IBM i) et du logiciel métier, en lien avec les équipes internes, les métiers et les prestataires externes.  Il pilote les évolutions du système d'information selon les besoins fonctionnels et la stratégie de la mutuelle, tout en réalisant une partie des développements.  Les activités principales sont les suivantes : - Assurer l'interface technique avec l'éditeur de la solution et les prestataires externes, et suivre les évolutions ainsi que la résolution d'incidents complexes - Développer, maintenir et automatiser les applications sur l'environnement IBM i - Exploiter les bases de données DB2, concevoir des requêtes SQL complexes et réaliser des extractions de fichiers (QRY/Statistiques) - Analyser les besoins métiers du secteur de la santé, rédiger les cahiers des charges et piloter les développements sous-traités - Définir, exécuter et valider les tests fonctionnels, les livrables externes et le suivi des dysfonctionnements avant mise en production - Administrer le système : gérer les comptes utilisateurs, les droits d'accès et assurer la maintenance préventive (purges, optimisations) - Assurer le support utilisateur de niveau 1, conseiller les utilisateurs et concevoir les supports de formation.  Profil recherché    Vous êtes reconnu(e) comme étant un expert de l'environnement IBM i (AS400) et possédez une double compétence : la vision du projet et la maîtrise du code.  Compétences techniques exigées : - Développement : Maîtrise impérative du RPG (versions 3 et 4) et du CL (Command Language) - Data : Expertise DB2 et pratique confirmée du SQL - Secteur : Très bonne connaissance des systèmes des métiers des mutuelles santé.  Fort d'une aisance relationnelle et pédagogue, vous avez la capacité d'accompagner le changement auprès des utilisateurs. Vous faites preuve de rigueur et d'autonomie dans l'accomplissement de vos missions. Pour postuler, un  CV et  une lettre de motivation.",https://candidat.francetravail.fr/offres/recherche/detail/213VBJC
213TWPB,Ref GR CPD   CHEF de PROJET DATA (H/F),CIMEM,69 - Tarare,CDI,Contrat travail,"35H/semaine
Travail en journée",2026-09-13T23:07:18.833Z,Annuel de 50000.0 Euros à 60000.0 Euros,5 An(s),"Recueillir et analyser les besoins client, Pilotage de Projets de DATAS, Connaissance de MICROSOFT et d'Informatica, Connaissance de briques pour la Data, ERP-CRM-VIDA","Ref GR CPD   CHEF de PROJET DATA Leader mondial du revêtement des sols souples, le groupe conçoit, fabrique et commercialise des solutions innovantes, décoratives et éco-responsable pour de multiples applications (bâtiment, sport, transport, industrie, tertiaire,..).  Présent dans une centaine de pays son usine de Tarare (800p) est spécialisée dans la fabrication de revêtements de sol multicouches pour les installations sportives et le transport.   Désireuse d'améliorer la performance de ses entités et activités elle recherche un chef de projet expérimenté dans la data.  Missions :  Auprès de la Direction en charge de la transformation digitale vous piloterez des projets data et fournirez un appui data à des projets stratégiques concernant des ERP, la CRM, VIDA, WMS.  Dans ce cas cadre vous synthétiserez les besoins métiers- piloterez intégralement les projets (en intégrant différentes briques : Data Catalog, Data Lineage , Data Quality, Data Visualisation, Data export, Data Lake, DWH, Data Hub - assurerez un interface entre les équipes métiers, iT et data dans la mise place des données, participerez à la définition et au suivi des Kpis   Formation :  -   Bac+5    avec une connaissance des outils de Microsoft et Informatica -   Expérience minimum de 5 ans notamment dans la data  -  Conduite de Projets -    Anglais B2 -   Esprit d'Analyse -   Rigoureux -   Organisé -   Travail en équipe    - Communiquant  Lieu de Travail :  Tarare",https://candidat.francetravail.fr/offres/recherche/detail/213TWPB
6858638,Finance - Contrôle de gestion - DATA Management F/H,Non précisé,03 - Audes,CDI,Contrat travail,,2026-09-13T11:53:43.291Z,,Débutant accepté,,"En tant qu'organisateur de forums de recrutement, Talents Handicap accompagne de très nombreuses entreprises & organisations en France dans leurs recrutements de collaborateurs en situation de handicap. Participant actuellement à l'un de nos forums. L'entreprise EDF recherche actuellement des profils : Environnement professionnel La Direction Gestion Finances de la Direction du Parc Nucléaire et Thermique (DPNT) d'EDF est composée de 25 personnes réparties au sein de 4 Pôles (Synthèse Financière et Contrôle de Gestion, Système Information Gestion Finance, Fiscalité et Stratégie Financière à Long Terme).Le contrôle de gestion au niveau DPNT est principalement un travail de synthèse pour apprécier les performances globales des métiers nucléaire, thermique classique et déconstruction des centrales fermées.Le contrôle de gestion assure l'interface avec les équipes du siège de la Direction Financière France et Groupe sur les aspects performance et validation des comptes consolidés.L'activité au sein de l'année est rythmée par le cycle de gestion du Groupe : réels mensuels, reprévisions trimestrielles et budget/plan moyen terme. En tant que stagiaire vous serez amené(e) à travailler dans l'équipe contrôle de gestion et en lien étroit avec l'équipe SI.- Vous participerez aux travaux de synthèse dans le cadre du cycle de gestion en menant des analyses plus poussées sur certains thèmes d'actualité.- Vous participerez à l'évolution du SI gestion pour améliorer l'automatisation et les process des taches de reporting.- Vous serez aussi amené(e) à tenir la gestion des dépenses (et questions afférentes) de l'État-major de la Direction (environ 200 personnes).- Ce stage vous permettra d'acquérir de multiples compétences autour du contrôle de gestion par la pluralité et la diversité des dossiers auxquels vous serez associé(e).",https://candidat.francetravail.fr/offres/recherche/detail/6858638
6856668,Head of Data Platform H/F,Non précisé,59 - Lille,CDI,Contrat travail,,2026-09-13T11:52:39.349Z,,Débutant accepté,,"Notre client figure parmi les acteurs majeurs de son secteur d'activité, évoluant dans un environnement multi-activités en perpétuelle transformation. Son organisation, composée de plusieurs entités opérationnelles, s'appuie sur une culture forte centrée sur l'innovation, la collaboration et la performance durable. Dans ce contexte, l'entreprise mène actuellement plusieurs programmes structurants, notamment autour de la modernisation de ses architectures data, du déploiement de cas d'usage en intelligence artificielle et du renforcement de la gouvernance des données.Le Head of Data Platform H/F pilote la coordination entre les équipes métiers et techniques afin de structurer une plateforme data performante. Il/elle garantit l'alignement entre besoins business et solutions data, tout en contribuant à la stratégie data & IA dans un environnement complexe et transverse.Missions principales    Traduire les besoins métiers en cas d'usage data et prioriser les initiatives à forte valeur Piloter la roadmap data & IA et structurer un backlog en méthodologie agile (Scrum/Kanban) Concevoir et challenger les architectures (cloud, data lakehouse, modern BI) Garantir la qualité et la conformité des données via des pratiques de data governance Coordonner les expertises (Data Analytics, Data Science, BI & Dataviz) Fédérer les parties prenantes et accompagner la montée en maturité data     CDI basé à Lille, Lille Rémunération selon profil + variable éventuel 2 jours de télétravail par semaine après validation de la période d'essai. Environnement innovant orienté data & IA Avantages sociaux et cadre collaboratif",https://candidat.francetravail.fr/offres/recherche/detail/6856668
