"Id","Intitule","Entreprise","Statut","Erreur"
"213SGGN","Alternant Big Data et Gestion des données H/F (H/F)","TEXEN","OK",""
"213QWNF","Alternant Data Virtualisation / Denodo (H/F)","Non précisé","IGNOREE (deja traitee)",""
"213QBYH","Data analyst alternance/stage (H/F)","UNION ST MARTIN","IGNOREE (deja traitee)",""
"6764798","Data Miner (38970) (H/F)","NAOS","IGNOREE (deja traitee)",""
"6748181","Apprentissage Data Analyst supply risk management F/H","CIS bio international","IGNOREE (deja traitee)",""
"213NWCD","(ALTERNANCE) - Analyste data des procédés industriels (H/F)","AUTOMOTIVE CELLS COMPANY SE","IGNOREE (deja traitee)",""
"213PJFQ","(ALTERNANCE) - Ingénieur Vision (H/F)","AUTOMOTIVE CELLS COMPANY SE","IGNOREE (deja traitee)",""
"213JGJC","Alternance DRH DATA et SI - Master RH/DATA (BAC+4/5) H/F (H/F)","RAIL LOGISTICS EUROPE","IGNOREE (deja traitee)",""
"6494527","Analyste qualité des données (404275) (H/F)","VILMORIN-MIKADO","IGNOREE (deja traitee)",""
"213CNNV","Alternant(e) Data & IA (H/F)","Non précisé","IGNOREE (deja traitee)",""
"213CNNN","Data analyst","Non précisé","IGNOREE (deja traitee)",""
"6531772","Offre d'alternance - Ingénieur IA Optimisation des algorithmes d'IA appliqués à l'identification des polymères par imagerie hyperspectrale (H/F)","Plas'tri","IGNOREE (deja traitee)",""
"6445466","Développeur / Développeuse IA (H/F)","T'HOMPOUSS CONSULTANTS","IGNOREE (deja traitee)",""
"6445540","Développeur / Développeuse d'application (H/F)","SERGI TRANSFORMER PROTECTOR","IGNOREE (deja traitee)",""
