"Id","Intitule","Entreprise","Statut","Erreur"
"213SGGN","Alternant Big Data et Gestion des données H/F (H/F)","TEXEN","IGNOREE (deja traitee)",""
"213QWNF","Alternant Data Virtualisation / Denodo (H/F)","Non précisé","IGNOREE (deja traitee)",""
"213QBYH","Data analyst alternance/stage (H/F)","UNION ST MARTIN","IGNOREE (deja traitee)",""
"6764798","Data Miner (38970) (H/F)","NAOS","IGNOREE (deja traitee)",""
"6748181","Apprentissage Data Analyst supply risk management F/H","CIS bio international","IGNOREE (deja traitee)",""
"213NWCD","(ALTERNANCE) - Analyste data des procédés industriels (H/F)","AUTOMOTIVE CELLS COMPANY SE","IGNOREE (deja traitee)",""
"213PJFQ","(ALTERNANCE) - Ingénieur Vision (H/F)","AUTOMOTIVE CELLS COMPANY SE","IGNOREE (deja traitee)",""
