"Id","Intitule","Entreprise","Statut","Erreur"
"213SGGN","Alternant Big Data et Gestion des données H/F (H/F)","TEXEN","IGNOREE (deja traitee)",""
"213QWNF","Alternant Data Virtualisation / Denodo (H/F)","Non précisé","IGNOREE (deja traitee)",""
"213QBYH","Data analyst alternance/stage (H/F)","UNION ST MARTIN","IGNOREE (deja traitee)",""
"6764798","Data Miner (38970) (H/F)","NAOS","IGNOREE (deja traitee)",""
"6748181","Apprentissage Data Analyst supply risk management F/H","CIS bio international","IGNOREE (deja traitee)",""
"213NWCD","(ALTERNANCE) - Analyste data des procédés industriels (H/F)","AUTOMOTIVE CELLS COMPANY SE","IGNOREE (deja traitee)",""
"213PJFQ","(ALTERNANCE) - Ingénieur Vision (H/F)","AUTOMOTIVE CELLS COMPANY SE","IGNOREE (deja traitee)",""
"213JGJC","Alternance DRH DATA et SI - Master RH/DATA (BAC+4/5) H/F (H/F)","RAIL LOGISTICS EUROPE","IGNOREE (deja traitee)",""
"6494527","Analyste qualité des données (404275) (H/F)","VILMORIN-MIKADO","IGNOREE (deja traitee)",""
"213CNNV","Alternant(e) Data & IA (H/F)","Non précisé","IGNOREE (deja traitee)",""
"213CNNN","Data analyst","Non précisé","IGNOREE (deja traitee)",""
"6278369","ALTERNANT(E) Data Analyst / Data & Project (H/F)","Yamaha Motor Manufacturing Europe","IGNOREE (deja traitee)",""
"212WWML","Alternance - Master 2 en Data Business Intelligence (H/F)","COOPEMPLOI","IGNOREE (deja traitee)",""
"6531772","Offre d'alternance - Ingénieur IA Optimisation des algorithmes d'IA appliqués à l'identification des polymères par imagerie hyperspectrale (H/F)","Plas'tri","IGNOREE (deja traitee)",""
"6280640","Architecte IoT (H/F)","Non précisé","OK",""
"6445466","Développeur / Développeuse IA (H/F)","T'HOMPOUSS CONSULTANTS","OK",""
"6445540","Développeur / Développeuse d'application (H/F)","SERGI TRANSFORMER PROTECTOR","OK",""
"6280599","Architecte logiciel et développement applicatif (H/F)","Non précisé","OK",""
"6280613","Développeur d'applications (H/F)","Non précisé","OK",""
"212XFGL","Alternance - Développeur Intelligence Artificielle (H/F)","LARRERE ET FILS","OK",""
