id,intitule,entreprise,lieu,type_contrat,teletravail,date_debut,duree_contrat_mois,niveau_diplome,nb_postes,competences_attendues,competences_a_acquerir,description,url_candidature,telephone_candidature,recipient_id,is_delegated,partner_label,codes_rome
6a862ac2def11190f7e38cad,Développeur / Développeuse informatique (H/F),,59100 Roubaix,Apprentissage,,,12,,1,,,"Description du poste :  Notre organisme de formation est à la recherche du candidat idéal pour le poste de Développeur Web en alternance pour l'un de nos partenaire.  Renforcer l'équipe technique et participer à la conception, au développement et à l'évolution de site.  Missions  Encadré(e) par un développeur confirmé, tu interviendras sur les missions suivantes Développement et maintenance de sites et applications web***Intégration de maquettes (HTML, CSS, JavaScript)***Participation au développement back-end (selon profil : PHP, Python, Node.js, etc Optimisation des performances et de l'accessibilité  Description du profil :  Le candidat idéal est curieux, motivé, avec un intérêt pour le développement commercial et le secteur numérique, possédant une aisance relationnelle, proactif et organisé.",https://www.meteojob.com/jobs/51409157?utm_source=pole-emploi&utm_medium=aggregator-free,,,False,France Travail,M1805
6a7f935f9ef8f4ccc56c4bdd,Apprenti/e développeur/se informatique (H/F),PARIS FASHION SHOPS - PFS,93210 ST DENIS,Apprentissage,,,12,,1,,"Application web, Concevoir une application web","Intitulé de la mission : Développement et maintenance des solutions logicielles de gestion de la logistique interne et externe du groupe (application BO Admin pour Paris Fashion Shops, plateforme Smarty365, et nouveaux projets à venir).  Environnement technique (matériels, logiciels envisagés ou autres pour effectuer le travail) : Vue.js, Laravel, Nest.js, TypeScript, bases de données PostgreSQL et MySQL, API REST, environnement de développement Agile (Scrum), outils de gestion de projet (Notion, Linear), Git, et outils de tests automatisés.  Contexte de la mission : L'entreprise assure la gestion de la logistique interne et externe pour plusieurs activités du groupe. L'alternant(e) rejoindra l'équipe de développement en charge de plusieurs projets : l'application BO Admin, outil interne de pilotage de la logistique de Paris Fashion Shops, la plateforme Smarty365, solution de revente de transport destinée aux commerçants B2B, aux sites e-commerce et aux retailers, ainsi que de nouveaux projets à venir. Elle intégrera une équipe pluridisciplinaire de développeurs et de chefs de projet, qui pilotent au quotidien la roadmap avec des objectifs mensuels à atteindre.  Objectif du projet : Assurer la maintenance corrective et évolutive des solutions existantes (BO Admin et Smarty365), tout en participant au développement de nouvelles fonctionnalités répondant aux besoins métiers de la logistique interne et externe du groupe. L'alternant(e) devra être force de proposition sur les choix techniques et fonctionnels, contribuer à l'amélioration continue des applications, et s'adapter aux évolutions de la roadmap produit définie mensuellement avec les chefs de projet.  Compétences spécifiques requises pour la mission : Maîtrise de Vue.js, Laravel, Nest.js, TypeScript, ainsi que des bases de données PostgreSQL et MySQL. Capacité à travailler en équipe avec des développeurs et des chefs de projet dans un environnement agile. Autonomie, rigueur, capacité d'adaptation et force de proposition. Bonne intégration et compréhension des enjeux métiers liés à la logistique et au transport.",https://candidat.francetravail.fr/offres/recherche/detail/212MBDM,,,False,France Travail,M1805
6a7112ba7e6cdc74ddd1dab1,Alternant R&amp;D Logiciel Embarqué (H/F),CARVOLIX,25000 Besançon,Apprentissage,,,12,,1,,"Application web, Concevoir une application web","Le groupe Carvolix regroupe différents programmes qui développent et fabriquent des dispositifs médicaux implantables innovants.  Le site de Myopowers à Besançon travaille sur un sphincter urinaire artificiel pour traiter l'incontinence urinaire d'effort. Ce dispositif est un implant activé par le patient via une télécommande. Association de mécanique, électronique et logiciel, le sphincter est en cours de développement.  Les missions proposées dans le cadre de l'apprentissage :  Mise à jour CU implantée avec logiciel Centum - Développement logiciel pour applicatif intermédiaire qui doit faire o Remise au propre structure flash externe o Mise à jour du base - Analyse de risque + Test + vérif complet (à voir si on se base sur le base que l'on fera pour la CU ou l'applicatif centum) - Mise à jour des CU avec le nouveau applicatif   Re-développement des outils logiciels PC  - Pour le déploiement o Mise à jour RC/CU patient o Téléchargement de log - Pour production - Pour diagnoqtique  Ecran et modif RV v1.5 - Dev - Test / verif   Qualification et documentation des logiciels de prod  - Calibration -&gt;  revoir la procédure dans sa globalité ? (Différent du test fonctionnel) - Test PCBA CU - Test PCBA RC - Test fonctionnel (exigence ? Sanction ?)   Test de non-régression incluant mesure de courant / estimation de consommation - Nécessité de faire des vérifications de consommation de courant (non faite aujourd'hui) pour s'assurer du zéro impact  - Créer et jouer la séquence complète incluant une routine représentative de l'utilisation - Possible simulation d'intervention technicien (DL log + calibration / zeroing supplémentaire) - Simulation de perte de communication comme pourrait l'avoir le patient   Activité de routine - Maintenance centum - Maintenance actuelle - Dossier marquage préparation et réponse - Analyse log et root cause analysis de pb - Gestion obsolescence   FDA compliance - Gap à couvrir avec marquage CE - SBOM   Refonte RC : on ne le fait pas aujourd'hui car sortie pour juin (indépendance Cicor + maitrise du logiciel) - Reprise des driver (base centum zarlink et flash externe) - Peut être reprise de la SAD : a priori ok pour le marquage CE donc pas de risque associé à la reprise on peut vivre avec l'actuel « normalement » - Si reprise de la RC, réécriture des SRS pour repartir propre (comme avec Centum) - Développement associé - test et verif   Exploitation de la flash de la RC pour des log (aujourd'hui inexistant) - Définition de ce que l'on veut (utilisation patient, perte de com, activation simple de la RC.) - Exigence - Développement - Test et verif - Logiciel d'exploitation (aujourd'hui PC App) pour sortir les statistique    Exploitation de la nouvelle flash PCB CU V2 : plus de donnée disponible =&gt; plus de point en courant sur un déplacement - Reprise du logiciel applicatif centum pour faire plus de mesure lors d'un mouvement - Vérif sur l'impact consommation lors de l'écriture des log en mémoire  - Test et verif   Exploitation du courant pour détection de problème (maintenance prédictive) :  - Manip amont : bruit de mesure du courant / amélioration acquisition / impact conso  - Algorithme  o Détermination d'une base line (implantation ?  Surgery test ?  Calibration ?) o Détermination seuil de défaut : différence entre base line et actuel o Évolution des max + seuil de défaut ? o évolution de la tension de batterie   Prototypage CU V2 - Logiciel de test pour les nouveautés - IRM compatible",https://candidat.francetravail.fr/offres/recherche/detail/211YJZH,,,False,France Travail,M1805
686bba9ebb9cf4cad85d2e9f,Trigger Offer,ADECCO FRANCE,69001 Lyon,Apprentissage,onsite,,15,,1,,,This is a test offer to trigger workflows. Software Developer null,https://bloom-alternance.fr/plateforme-alternance/offers/9034,,,False,Bloom Alternance,M1805
