"Id","Intitule","Entreprise","Statut","Erreur"
"SPONT-centre-hospitalier-carcassonne","Candidature spontanée - Alternance Data / Science des données","CENTRE HOSPITALIER CARCASSONNE","OK",""
"SPONT-analyticsphere","Candidature spontanée - Alternance Data / Science des données","ANALYTICSPHERE","OK",""
"SPONT-secretariat-general-commun-departemental","Candidature spontanée - Alternance Data / Science des données","SECRETARIAT GENERAL COMMUN DEPARTEMENTAL DE L'ARIEGE","OK",""
"SPONT-metropole-de-grenoble","Candidature spontanée - Alternance Data / Science des données","METROPOLE DE GRENOBLE","OK",""
"SPONT-aerotec","Candidature spontanée - Alternance Data / Science des données","AEROTEC","OK",""
"SPONT-it-services","Candidature spontanée - Alternance Data / Science des données","IT SERVICES","OK",""
"SPONT-mairie","Candidature spontanée - Alternance Data / Science des données","MAIRIE","OK",""
"SPONT-msa-services-grand-sud","Candidature spontanée - Alternance Data / Science des données","MSA SERVICES GRAND SUD","OK",""
"SPONT-cnrs-dr-14","Candidature spontanée - Alternance Data / Science des données","CNRS DR 14","OK",""
"SPONT-communaute-d-agglomeration-du-sicoval","Candidature spontanée - Alternance Data / Science des données","COMMUNAUTE D'AGGLOMERATION DU SICOVAL","OK",""
"SPONT-intuiface","Candidature spontanée - Alternance Data / Science des données","INTUIFACE","OK",""
"SPONT-universite-de-bordeaux","Candidature spontanée - Alternance Data / Science des données","UNIVERSITE DE BORDEAUX","OK",""
"SPONT-direction-regionale-pole-emploi-languedo","Candidature spontanée - Alternance Data / Science des données","DIRECTION REGIONALE POLE EMPLOI LANGUEDOC ROUSSILLON","OK",""
"SPONT-cirad","Candidature spontanée - Alternance Data / Science des données","CIRAD","OK",""
"SPONT-banque-populaire-du-sud","Candidature spontanée - Alternance Data / Science des données","BANQUE POPULAIRE DU SUD","OK",""
"SPONT-interbev","Candidature spontanée - Alternance Data / Science des données","INTERBEV","OK",""
"SPONT-caisse-nationale-de-l-assurance-maladie","Candidature spontanée - Alternance Data / Science des données","CAISSE NATIONALE DE L'ASSURANCE MALADIE","OK",""
"SPONT-caplaser","Candidature spontanée - Alternance Data / Science des données","CAPLASER","OK",""
"SPONT-sarl-arkolia-energies","Candidature spontanée - Alternance Data / Science des données","SARL ARKOLIA ENERGIES","OK",""
"SPONT-aerospace-valley","Candidature spontanée - Alternance Data / Science des données","AEROSPACE VALLEY","OK",""
"SPONT-remarque-le-stage-a-ete-neutralise-en-20","Candidature spontanée - Alternance Data / Science des données","Remarque : le stage a été neutralisé en 2020 pour cause COVID. Beaucoup d'entreprises ont annulé la convention.","OK",""
"SPONT-udaf","Candidature spontanée - Alternance Data / Science des données","UDAF","OK",""
"SPONT-caisse-d-assurance-maladie-de-l-herault","Candidature spontanée - Alternance Data / Science des données","CAISSE D'ASSURANCE MALADIE DE L'HERAULT","OK",""
"SPONT-sarl-mat-elec","Candidature spontanée - Alternance Data / Science des données","SARL MAT ELEC","OK",""
"SPONT-centre-hospitalier","Candidature spontanée - Alternance Data / Science des données","CENTRE HOSPITALIER","OK",""
"SPONT-conseil-departemental-de-l-aude","Candidature spontanée - Alternance Data / Science des données","CONSEIL DEPARTEMENTAL DE L'AUDE","OK",""
"SPONT-spie-ics","Candidature spontanée - Alternance Data / Science des données","SPIE ICS","OK",""
"SPONT-e-reputation-defender","Candidature spontanée - Alternance Data / Science des données","E REPUTATION DEFENDER","OK",""
"SPONT-newton-concept","Candidature spontanée - Alternance Data / Science des données","NEWTON CONCEPT","OK",""
"SPONT-setrag-sa","Candidature spontanée - Alternance Data / Science des données","SETRAG SA","OK",""
"SPONT-saur","Candidature spontanée - Alternance Data / Science des données","SAUR","OK",""
"SPONT-agence-regionale-de-sante-occitanie","Candidature spontanée - Alternance Data / Science des données","AGENCE REGIONALE DE SANTE OCCITANIE","OK",""
"SPONT-winstate","Candidature spontanée - Alternance Data / Science des données","WINSTATE","OK",""
"SPONT-college-simone-de-beauvoir","Candidature spontanée - Alternance Data / Science des données","COLLEGE SIMONE DE BEAUVOIR","OK",""
"SPONT-institut-franco-europeen-de-chiropraxie","Candidature spontanée - Alternance Data / Science des données","INSTITUT FRANCO EUROPEEN DE CHIROPRAXIE","OK",""
"SPONT-etablissement-public-de-sante","Candidature spontanée - Alternance Data / Science des données","ETABLISSEMENT PUBLIC DE SANTE","OK",""
"SPONT-la-fille-du-midi","Candidature spontanée - Alternance Data / Science des données","LA FILLE DU MIDI","OK",""
"SPONT-gsc-marketing","Candidature spontanée - Alternance Data / Science des données","GSC MARKETING","OK",""
"SPONT-centre-hospitalier-limoux-quillan","Candidature spontanée - Alternance Data / Science des données","CENTRE HOSPITALIER LIMOUX QUILLAN","OK",""
"SPONT-mairie-d-avignon","Candidature spontanée - Alternance Data / Science des données","MAIRIE D'AVIGNON","OK",""
"SPONT-union-asa","Candidature spontanée - Alternance Data / Science des données","UNION ASA","OK",""
"SPONT-sncf-mobilite-direction-regionale-midi-p","Candidature spontanée - Alternance Data / Science des données","SNCF MOBILITE DIRECTION REGIONALE MIDI PYRENNES","OK",""
"SPONT-cytel-geneve","Candidature spontanée - Alternance Data / Science des données","CYTEL GENEVE","OK",""
"SPONT-zap-sarl","Candidature spontanée - Alternance Data / Science des données","ZAP SARL","OK",""
"SPONT-sasl-salle-de-jeu","Candidature spontanée - Alternance Data / Science des données","SASL SALLE DE JEU","OK",""
"SPONT-netia","Candidature spontanée - Alternance Data / Science des données","NETIA","OK",""
"SPONT-clinique-de-l-etang-et-de-l-olivier","Candidature spontanée - Alternance Data / Science des données","clinique de l'étang et de l'olivier","OK",""
"SPONT-caisses-familiales-de-l-aude","Candidature spontanée - Alternance Data / Science des données","Caisses Familiales de l'Aude","OK",""
"SPONT-dnsce","Candidature spontanée - Alternance Data / Science des données","DNSCE","OK",""
"SPONT-clinique-val-d-aurelle","Candidature spontanée - Alternance Data / Science des données","clinique Val d'Aurelle","OK",""
"SPONT-conseil-general-de-l-aude","Candidature spontanée - Alternance Data / Science des données","conseil Général de l'Aude","OK",""
"SPONT-institut-de-l-elevage","Candidature spontanée - Alternance Data / Science des données","Institut de l'élevage","OK",""
"SPONT-insee","Candidature spontanée - Alternance Data / Science des données","INSee","OK",""
"SPONT-chru-montpellier","Candidature spontanée - Alternance Data / Science des données","CHRU Montpellier","OK",""
"SPONT-ifsi-chu-carcassonne","Candidature spontanée - Alternance Data / Science des données","IFSI CHU carcassonne","OK",""
"SPONT-insee-aerospace-valley","Candidature spontanée - Alternance Data / Science des données","INSEE - Aerospace Valley","OK",""
"SPONT-rentreediscount-com","Candidature spontanée - Alternance Data / Science des données","Rentreediscount.com","OK",""
"SPONT-caf","Candidature spontanée - Alternance Data / Science des données","CAF","OK",""
"SPONT-ch-de-guingamp","Candidature spontanée - Alternance Data / Science des données","CH de GUINGAMP","OK",""
"SPONT-sadjbois","Candidature spontanée - Alternance Data / Science des données","SADJBOIS","OK",""
"SPONT-couleur-ciel","Candidature spontanée - Alternance Data / Science des données","COULEUR CIEL","OK",""
"SPONT-ene-o","Candidature spontanée - Alternance Data / Science des données","ENE'O","OK",""
"SPONT-conseil-departemental-service-sig","Candidature spontanée - Alternance Data / Science des données","Conseil Départemental - Service SIG","OK",""
"SPONT-maison-des-jeunes-et-de-la-culture","Candidature spontanée - Alternance Data / Science des données","Maison des Jeunes et de la Culture","OK",""
"SPONT-service-interentreprises-de-sante-au-tra","Candidature spontanée - Alternance Data / Science des données","Service Interentreprises de Santé  au Travail","OK",""
"SPONT-centre-hospitalier-universitaire","Candidature spontanée - Alternance Data / Science des données","CENTRE HOSPITALIER UNIVERSITAIRE","OK",""
"SPONT-amd-informatique","Candidature spontanée - Alternance Data / Science des données","AMD INFORMATIQUE","OK",""
"SPONT-agence-de-developpement-touristique-de-l","Candidature spontanée - Alternance Data / Science des données","AGENCE DE DEVELOPPEMENT TOURISTIQUE DE L'AUDE","OK",""
"SPONT-sas-coulot","Candidature spontanée - Alternance Data / Science des données","SAS COULOT","OK",""
"SPONT-sezarz-pharmacie-la-domitienne","Candidature spontanée - Alternance Data / Science des données","SEZARZ PHARMACIE LA DOMITIENNE","OK",""
"SPONT-scic-sapie","Candidature spontanée - Alternance Data / Science des données","SCIC SAPIE","OK",""
"SPONT-observatoire-de-la-sante-de-la-provence-","Candidature spontanée - Alternance Data / Science des données","OBSERVATOIRE DE LA SANTE DE LA PROVENCE DU LUXEMBOURG","OK",""
"SPONT-dassault-aviation","Candidature spontanée - Alternance Data / Science des données","DASSAULT AVIATION","OK",""
"SPONT-mission-locale-du-bassin-carcassonnais-a","Candidature spontanée - Alternance Data / Science des données","MISSION LOCALE DU BASSIN CARCASSONNAIS ASSOCIATION LOI 1901","OK",""
"SPONT-frederic-bianco-couvent-des-carmes-antiq","Candidature spontanée - Alternance Data / Science des données","FREDERIC BIANCO ""COUVENT DES CARMES"" ANTIQUITES DECORATIONS","OK",""
"SPONT-hyper-plein-ciel","Candidature spontanée - Alternance Data / Science des données","HYPER PLEIN CIEL","OK",""
